,index,ภาค,จังหวัด,รายการย่อย,year,ประเภทผู้เยี่ยมเยือน,รายได้การท่องเที่ยว (ล้านบาท)
10,21670,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2552,รวม,94006.88
11,21671,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2553,รวม,108446.18
12,21672,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2554,รวม,188822.46
13,21673,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2555,รวม,228984.88
14,21674,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2556,รวม,260442.14
15,21675,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2557,รวม,259290.5
16,21676,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2558,รวม,313005.63
17,21677,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2559,รวม,377878.09
18,21678,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2560,รวม,423012.85
19,21679,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2561,รวม,449100.73
20,21680,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2552,ชาวไทย,7131.83
21,21681,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2553,ชาวไทย,7159.8
22,21682,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2554,ชาวไทย,24895.31
23,21683,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2555,ชาวไทย,30291.58
24,21684,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2556,ชาวไทย,37217.26
25,21685,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2557,ชาวไทย,36375.26
26,21686,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2558,ชาวไทย,40473.95
27,21687,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2559,ชาวไทย,43991.21
28,21688,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2560,ชาวไทย,48111.24
29,21689,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2561,ชาวไทย,51850.72
30,21690,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2552,ชาวต่างประเทศ,86875.05
31,21691,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2553,ชาวต่างประเทศ,101286.38
32,21692,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2554,ชาวต่างประเทศ,163927.15
33,21693,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2555,ชาวต่างประเทศ,198693.3
34,21694,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2556,ชาวต่างประเทศ,223224.88
35,21695,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2557,ชาวต่างประเทศ,222915.24
36,21696,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2558,ชาวต่างประเทศ,272531.68
37,21697,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2559,ชาวต่างประเทศ,333886.88
38,21698,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2560,ชาวต่างประเทศ,374901.61
39,21699,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2561,ชาวต่างประเทศ,397250.01
