,index,ภาค,จังหวัด,รายการ,รายการย่อย,year,ประเภทผู้เยี่ยมเยือน,value
10,21710,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2552,รวม,37884.0
11,21711,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2553,รวม,44330.0
12,21712,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2554,รวม,57679.0
13,21713,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2555,รวม,53814.0
14,21714,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2556,รวม,46007.0
15,21715,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2557,รวม,48241.0
16,21716,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2558,รวม,82962.0
17,21717,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2559,รวม,81727.0
18,21718,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2560,รวม,84427.0
19,21719,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนห้อง,2561,รวม,84707.0
20,21720,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2552,รวม,35.84
21,21721,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2553,รวม,46.195
22,21722,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2554,รวม,56.47
23,21723,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2555,รวม,61.405
24,21724,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2556,รวม,71.58
25,21725,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2557,รวม,70.39
26,21726,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2558,รวม,73.37999999999998
27,21727,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2559,รวม,73.9
28,21728,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2560,รวม,75.2
29,21729,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,อัตราการเข้าพัก,2561,รวม,75.95999999999998
30,21730,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2552,รวม,2721269.0
31,21731,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2553,รวม,4642862.0
32,21732,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2554,รวม,8271722.0
33,21733,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2555,รวม,9569786.0
34,21734,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2556,รวม,10804700.0
35,21735,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2557,รวม,10793303.0
36,21736,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2558,รวม,11928579.0
37,21737,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2559,รวม,12023148.0
38,21738,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2560,รวม,12500939.0
39,21739,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2561,รวม,12834961.0
40,21740,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2552,ชาวไทย,550031.0
41,21741,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2553,ชาวไทย,628320.0
42,21742,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2554,ชาวไทย,2375725.0
43,21743,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2555,ชาวไทย,2780374.0
44,21744,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2556,ชาวไทย,3087913.0
45,21745,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2557,ชาวไทย,2975032.0
46,21746,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2558,ชาวไทย,3156924.0
47,21747,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2559,ชาวไทย,3203009.0
48,21748,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2560,ชาวไทย,3328180.0
49,21749,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2561,ชาวไทย,3430125.0
50,21750,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2552,ชาวต่างประเทศ,2171238.0
51,21751,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2553,ชาวต่างประเทศ,4014542.0
52,21752,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2554,ชาวต่างประเทศ,5895997.0
53,21753,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2555,ชาวต่างประเทศ,6789412.0
54,21754,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2556,ชาวต่างประเทศ,7716787.0
55,21755,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2557,ชาวต่างประเทศ,7818271.0
56,21756,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2558,ชาวต่างประเทศ,8771655.0
57,21757,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2559,ชาวต่างประเทศ,8820139.0
58,21758,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2560,ชาวต่างประเทศ,9172759.0
59,21759,ภาคใต้,ภูเก็ต,สถานประกอบการที่พักแรม,จำนวนผู้ที่มาเข้าพัก,2561,ชาวต่างประเทศ,9404836.0
